Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
23AndMe,2007,2,1.5,1.5,1.5,2,2,NA,0.678504779,0.563842432,0.621173605,1.13636363636,1.75,2.625
37signals,2000,1,1.5,1,1,2.5,2,NA,0.277996883,NA,0.277996883,NA,NA,0.711111111111
8Coupon,2008,3,2,2,2,2,1.2,NA,1.581776246,NA,1.581776246,NA,1.62263063475,4.28571428571
AirBNB (2008),2009,3,1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392,23.9090909091,6.66666666667,35.7142857143
Ancestry,1984,1,1.5,2.2,1.5,1,1.5,0.26299392,0.342963906,0.237489517,0.281149114,0.781710133345,0.650797373358,0.95
Android,2004,2,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,NA,1.11796682928253,3.12999753383,2.4,5.05050505051
Arduino,2006,2,2.7,2.5,2.5,2.7,2.7,NA,0.635013987,0.635013987,0.635013987,0.75,4.01277668095,4.01277668095
Athena Health,1998,1,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694,0.746614543275,0.631313131313,0.740594393786
BlaBlaCar (2006),2005,2,2,2,2,1,1,NA,0.832845107,1.683495936,1.258170521,1.3,10.6666666667,2
Causes,2008,3,1.2,2,2,1.5,1.2,NA,NA,0.617482723,0.617482723,NA,0.885714285714,0.802469135802
Change.org,2008,3,1.2,2,2,2.5,2.2,NA,NA,1.294004182,1.294004182,NA,4.16666666667,1.71428571429
Couchsurfing,2005,2,1.5,2.2,2,1,2,NA,0.829179571105565,0.413142660226114,0.621161115665839,1.21362887338,0.83484231081,4.76936114706
Crowdflower,2008,3,0.5,2.2,2,1.7,1.5,NA,1.100209984,0.854090972,0.977150478,NA,2.66666666667,5.33333333333
Crowdgather,2009,3,1.5,2,2,1.5,1,1.015999191,NA,0.541539152,0.778769172,3.11960546321,1.21212121212,0.918518518519
DeviantArt,2001,1,0.5,2,1.5,1.7,1,NA,0.29706163,0.270562601,0.283812116,NA,0.636363636364,0.759259259259
Docstoc,2008,3,1.5,1.5,2,1.5,1.5,NA,0.361386774,0.847327396,0.604357085,NA,3.88888888889,1
