,Company,Asset.1,Asset.2,Asset.3,Asset.4,Structure,Access.1,Access.2,Access.3,Reward,Founded,Alpha.Impact,Alpha.Users,Alpha.Revenue
52,Sparkfun,Existing,Tangible,Economical Value,Centralized,Service,PC First,No Free Use,Specific,Functional,2004,,,0.36558686
53,Spotify,Existing,Intangible,Economical Value,Centralized,Service,PC First,Partly Free,General,Experiential,2007,0.839632849,0.315743454,1.104522305
54,Stack Overflow,New,Intangible,No economical value,Centralized,Platform,PC First,Completely Free,Specific,Symbolic,2009,0.513720417,,
55,Survey Monkey,New,Intangible,No economical value,Distributed,Market,PC First,Partly Free,Specific,Functional,2000,0.30702598,0.445898768,
56,Taskrabbit,Existing,Intangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Functional,2009,,,
57,TedX,Existing,Intangible,No economical value,Centralized,Platform,PC First,Partly Free,General,Symbolic,2010,,0.690775528,
58,Twitter,New,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Symbolic,2007,1.219515049,0.569000646,
59,Waze,Existing,Intangible,No economical value,Distributed,Platform,Mobile First,Completely Free,Specific,Functional,2008,,1.927703914,
60,We Transfer,Existing,Intangible,No economical value,Centralized,Service,PC First,Completely Free,General,Functional,2010,,,
61,Whatsapp,New,Intangible,No economical value,Distributed,,Mobile First,No Free Use,General,Functional,2010,,1.601273514,
62,Wikipedia,Existing,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Functional,2002,0.19167347,0.123054455,0.443440028
63,Yammer,New,Intangible,No economical value,Distributed,Platform,PC First,No Free Use,Specific,Symbolic,2009,1.349530529,0.911077518,1.384409805
64,Yelp,Existing,Intangible,No economical value,Distributed,Market,PC First,Completely Free,General,Symbolic,2005,0.465678618,0.73045222,0.602671702
65,Youtube,Existing,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Symbolic,2006,0.84763712,0.592508791,
66,ZipCar,New,Tangible,Economical Value,Centralized,Service,PC First,No Free Use,General,Functional,2001,0.084193265,0.264052454,0.254611119
67,8Coupon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581776246,,
68,Baidu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220190586,,0.532891081
69,Fon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735228306,0.560677454,
70,RenRen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25603631,0.326729544,0.602222167
71,Alpe d'Huzes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.004091902,0.576159322
72,Causes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.617482723,
73,Hoote Suite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.872013404,
74,Alibaba Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.567849427
