"","ImpactRelative","CrowdSourced","Centralized","Money","Property","Knowledge","Services","Media","Data","Relationships","Service","Market","Platform","Commons","Redistribution","Breaktrough","Producer"
"84",NA,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"85",80,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"86",NA,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"87",NA,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"88",NA,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"89",NA,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"90",NA,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"91",167,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"92",200,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"93",100,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"94",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"95",NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"96",525,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"97",NA,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"98",165,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"99",NA,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"100",233,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"101",NA,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"102",19,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"103",NA,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"104",62,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"105",73,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"106",4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"107",24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"108",37,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"109",54,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"110",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"111",160,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"112",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"113",NA,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"114",25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"115",NA,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"116",NA,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"117",NA,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"118",100,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"119",75,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
