,Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative,X,Description,Company.ID.Number,CrowdSourced,Centralized,Money,Property,Knowledge,Services,Media,Data,Relationships,Service,Market,Platform,Commons,Redistribution,Breaktrough,Producer
45,Android ,2009,NA,NA,NA,NA,7.00E+06,NA,NA,NA,NA,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
46,Android ,2010,NA,2.00E+08,NA,4,6.60E+07,843,NA,1.20E+08,100,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
47,Android ,2012,4,3.00E+10,300,1,2.95E+08,24,4,1069725000,213,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
48,Android ,2013,3,4.80E+10,60,4,1.00E+09,239,NA,NA,NA,40,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
49,Arduino,2012,3,300,77,4,300,100,2,1500000,50,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
50,Arduino,2013,4,1.00E+06,100,NA,1.00E+06,NA,NA,NA,NA,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
51,Arduino,2008,NA,33788,NA,NA,33788,NA,NA,NA,NA,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
52,Arduino,2009,3,62301,84,3,62301,84,NA,NA,NA,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
53,Arduino,2010,1,84674,36,1,84674,36,NA,1.00E+06,100,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
54,Arduino,2011,4,150,136,3,150,77,NA,NA,NA,36,OSHW project,37,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
55,Athena Health,2009,1,132,35,3,1974,65,1,188527000,38,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
56,Athena Health,2010,NA,NA,NA,1,26317,33,1,237145000,25,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
57,Athena Health,2008,NA,9778,NA,NA,12,NA,NA,136282000,NA,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
58,Athena Health,2011,2,20824,58,1,31675,20,1,324067000,37,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
59,Athena Health,2012,1,25,20,1,43858,38,1,422271000,30,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,Athena Health,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Healthcare business services,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
61,Baidu,2009,NA,NA,NA,1,317,12,1,651603000,39,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Baidu,2008,NA,NA,NA,NA,284,NA,NA,468780000,NA,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Baidu,2011,NA,9.00E+07,NA,1,488,18,3,2303943000,92,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Baidu,2012,3,1.70E+08,89,1,596,22,2,3.58E+09,55,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Baidu,2010,NA,NA,NA,1,412,30,3,1199254000,84,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Baidu,2013,2,2.40E+08,41,2,878,47,NA,NA,NA,63,Chinese search engine,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,BlaBlaCar (2006),2008,NA,1,NA,NA,NA,NA,NA,NA,NA,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
68,BlaBlaCar (2006),2009,4,50,49,NA,100,NA,NA,NA,NA,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
69,BlaBlaCar (2006),2013,NA,NA,NA,1,3.00E+06,30,NA,NA,NA,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
70,BlaBlaCar (2006),2012,4,1600000,300,2,2300000,44,1,1300000,30,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
71,BlaBlaCar (2006),2010,4,125,150,NA,500,400,NA,NA,NA,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
72,BlaBlaCar (2006),2011,4,400,280,4,1600000,220,NA,1.00E+06,100,35,Travelling / Mobility ,36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
73,Carpooling.com,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
74,Carpooling.com,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
75,Carpooling.com,2011,NA,3500000,100,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
76,Carpooling.com,2012,1,3700000,6,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
77,Carpooling.com,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
78,Carpooling.com,2013,1,5.00E+06,32,NA,NA,NA,NA,NA,NA,50,Ride Sharing,51,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
79,Change.org,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
80,Change.org,2010,4,1.00E+06,NA,NA,NA,NA,NA,NA,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
81,Change.org,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
82,Change.org,2012,4,2.00E+07,233,4,350,192,NA,1.40E+07,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
83,Change.org,2013,4,4.50E+07,125,3,600,71,NA,NA,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
84,Change.org,2011,4,6.00E+06,500,NA,120,NA,NA,NA,NA,59,Platform for social change,60,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
85,Couchsurfing,2009,NA,NA,NA,3,1118249,80,NA,NA,NA,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
86,Couchsurfing,2011,1,3.00E+06,25,NA,NA,NA,NA,NA,NA,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
87,Couchsurfing,2008,NA,700,NA,NA,622,NA,NA,788297,NA,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
88,Couchsurfing,2010,4,2395662,242,NA,NA,NA,4,1913400,145,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
89,Couchsurfing,2012,1,3965492,32,NA,1.60E+07,NA,NA,NA,NA,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
90,Couchsurfing,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Hospitality / Tourism,38,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
91,Crowdflower,2013,3,4.00E+06,60,4,8.00E+08,167,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
92,Crowdflower,2012,3,2500000,66,4,3.00E+08,200,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
93,Crowdflower,2011,4,1500000,200,4,1.00E+08,100,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
94,Crowdflower,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
95,Crowdflower,2009,NA,125,NA,NA,8.00E+06,NA,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
96,Crowdflower,2010,4,500,300,4,5.00E+07,525,NA,NA,NA,22,Online P2P task platform,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
97,Crowdgather,2013,1,2.00E+07,NA,1,12400000,NA,NA,NA,NA,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
98,Crowdgather,2010,3,5500000,90,4,4500000,165,4,309781,175,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
99,Crowdgather,2009,NA,2900000,100,NA,1700000,NA,NA,112546,100,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
100,Crowdgather,2011,4,1.50E+07,173,4,1.50E+07,233,4,1580957,410,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
101,Crowdgather,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
102,Crowdgather,2012,3,2.60E+07,73,1,17900000,19,1,1932789,22,69,"Network of online, forum based communities",70,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
103,DeviantArt,2008,NA,7.00E+06,NA,NA,5.00E+07,NA,NA,NA,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
104,DeviantArt,2009,2,1.10E+07,57,3,8.10E+07,62,NA,NA,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
105,DeviantArt,2010,1,1.30E+07,18,3,1.40E+08,73,NA,1.00E+07,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
106,DeviantArt,2011,1,1.80E+07,38,1,1.45E+08,4,NA,NA,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
107,DeviantArt,2012,1,2.30E+07,27,1,1.80E+08,24,NA,NA,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
108,DeviantArt,2013,1,2.80E+07,22,1,2.46E+08,37,NA,NA,NA,23,Online artwork community,24,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
109,Docstoc,2011,4,3500000,267,2,26,54,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
110,Docstoc,2008,NA,NA,NA,NA,700,NA,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
111,Docstoc,2010,3,250,88,4,2000,160,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
112,Docstoc,2009,NA,NA,NA,NA,1,NA,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
113,Docstoc,2013,1,NA,17,NA,36,NA,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
114,Docstoc,2012,4,6.00E+06,173,1,3400,25,NA,NA,NA,32,File Sharing Website,33,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
115,Dropbox,2009,4,4.00E+06,19,NA,NA,NA,NA,NA,NA,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
116,Dropbox,2010,4,2.50E+07,525,NA,NA,NA,NA,1.00E+08,100,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
117,Dropbox,2008,NA,200,NA,NA,NA,NA,NA,NA,NA,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
118,Dropbox,2012,4,1.00E+08,100,4,4.00E+09,100,4,5.00E+08,108,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
119,Dropbox,2013,3,1.75E+08,75,3,7.00E+09,75,NA,NA,NA,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
120,Dropbox,2011,4,5.00E+07,100,NA,2.00E+09,NA,4,2.40E+08,140,34,File Sharing Cloud,35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
121,Ebay,2012,NA,NA,NA,1,1.23E+08,23,3,1.41E+10,20,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
122,Ebay,2009,NA,NA,NA,1,90100000,3,4,8727362000,1,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
123,Ebay,2010,NA,NA,NA,1,94500000,5,3,9.16E+09,5,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
124,Ebay,2008,NA,NA,NA,NA,87700000,NA,NA,8451261000,NA,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
125,Ebay,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
126,Ebay,2011,NA,7.30E+07,NA,1,100400000,6,3,1.17E+10,27,42,E-Commerce Website,43,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
127,Elance,2008,NA,NA,NA,NA,NA,NA,NA,1.50E+08,NA,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
128,Elance,2010,3,110,83,2,160,60,1,3.00E+08,30,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
129,Elance,2011,1,130,18,4,650,306,1,4.00E+08,33,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
130,Elance,2013,2,500,45,3,2850000,90,NA,NA,NA,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
131,Elance,2009,NA,60,NA,NA,100,NA,2,2.30E+08,53,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
132,Elance,2012,2,345,54,4,1500000,131,1,5.00E+08,33,19,Online platform for work,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
133,Etsy,2008,NA,650,NA,NA,120,NA,NA,87500000,NA,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
134,Etsy,2010,4,7.00E+06,977,NA,NA,NA,3,314300000,74,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
135,Etsy,2011,2,1.00E+07,43,NA,400,NA,3,525600000,67,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
136,Etsy,2009,NA,5.00E+06,NA,NA,NA,NA,4,180600000,106,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
137,Etsy,2013,1,3.00E+07,37,1,1.00E+06,25,NA,NA,NA,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
138,Etsy,2012,4,2.20E+07,120,NA,800,100,3,8.95E+08,70,45,E-Commerce Website,46,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
139,Evernote,2008,NA,500,NA,NA,4000,NA,NA,NA,NA,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
140,Evernote,2009,4,2096030,319,4,3531,783,NA,6500000,100,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
141,Evernote,2011,4,2.00E+07,233,4,750,273,3,1.80E+07,99,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
142,Evernote,2012,4,4.10E+07,105,4,1500000,100,4,8.00E+07,344,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
143,Evernote,2010,4,6003130,186,4,201308,470,1,9058860,39,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
144,Evernote,2013,2,6.50E+07,59,NA,NA,NA,NA,NA,NA,13,Digital Notebook,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
145,Facebook,2009,4,700,600,4,3.60E+08,177,4,7.77E+08,186,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
146,Facebook,2010,4,1500000,114,3,6.08E+08,69,4,1.97E+09,154,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
147,Facebook,2012,4,1.30E+07,225,1,1.06E+09,25,1,5.09E+09,37,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
148,Facebook,2008,NA,100,NA,NA,1.30E+08,NA,NA,2.72E+08,NA,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
149,Facebook,2013,NA,NA,NA,1,1.26E+09,19,NA,NA,NA,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
150,Facebook,2011,4,4.00E+06,179,1,8.45E+08,39,3,3.71E+09,88,7,Network site,8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
151,Fon ,2009,NA,NA,NA,4,1.00E+06,372,NA,5.00E+06,100,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
152,Fon ,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
153,Fon ,2011,4,6.00E+06,623,1,4.00E+06,19,NA,NA,NA,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
154,Fon ,2012,NA,NA,NA,1,5.00E+06,25,NA,NA,NA,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
155,Fon ,2008,NA,830,NA,NA,212,NA,NA,NA,NA,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
156,Fon ,2010,NA,NA,NA,4,3350000,235,4,2.80E+07,460,47,"""Flexible"" Wifi provider",48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
157,Foursquare,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
158,Foursquare,2009,NA,100,NA,NA,NA,NA,NA,NA,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
159,Foursquare,2011,4,1.50E+07,150,3,7.50E+08,97,NA,NA,NA,30,Locations Based Services,31,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
